267978,8.352,-4.942,0.921,0.019171,0.009645,0.026345,101530.50
267988,8.358,-4.990,0.933,0.017042,0.009645,0.020492,101529.73
267999,8.341,-4.991,0.955,0.014382,0.011242,0.014639,101528.39
268009,8.349,-4.967,0.919,0.011721,0.013370,0.007721,101528.39
268018,8.358,-4.964,0.821,0.009593,0.014434,0.001868,101533.33
268024,8.395,-4.955,0.846,0.009060,0.012838,-0.002921,101530.17
268034,8.418,-4.906,0.812,0.013317,0.011242,-0.006114,101530.17
268044,8.412,-4.899,0.860,0.020235,0.010178,-0.006646,101531.52
268054,8.412,-4.896,0.898,0.023960,0.008049,-0.009838,101527.02
268063,8.391,-4.917,0.933,0.023960,0.006985,-0.011435,101527.02
268073,8.375,-4.938,0.961,0.021299,0.008581,-0.015691,101532.16
268084,8.362,-4.943,0.971,0.015978,0.010178,-0.019416,101530.70
268094,8.365,-4.915,0.963,0.012785,0.011774,-0.022077,101529.71
268103,8.377,-4.906,0.945,0.013317,0.011774,-0.023141,101529.71
268113,8.395,-4.876,0.889,0.015978,0.010178,-0.025802,101529.71
268124,8.389,-4.883,0.896,0.021299,0.009113,-0.028994,101531.76
268134,8.361,-4.914,0.891,0.027684,0.006985,-0.032719,101531.20
268143,8.353,-4.935,0.872,0.032473,0.005921,-0.039104,101530.88
268153,8.340,-4.936,0.922,0.036730,0.007517,-0.048150,101528.71
268164,8.333,-4.967,0.919,0.039923,0.007517,-0.058260,101528.71
268174,8.343,-4.937,0.894,0.044712,0.009645,-0.071031,101530.05
268184,8.394,-4.907,0.914,0.045244,0.012838,-0.079545,101531.08
268193,8.420,-4.902,0.874,0.045776,0.014434,-0.088058,101529.70
268204,8.440,-4.864,0.841,0.044712,0.016563,-0.093912,101529.70
268214,8.447,-4.882,0.861,0.045776,0.018159,-0.098168,101527.55
268224,8.416,-4.863,0.897,0.045244,0.019755,-0.101361,101527.55
268233,8.441,-4.842,0.935,0.043116,0.021352,-0.106150,101531.79
268243,8.441,-4.835,0.952,0.039923,0.022416,-0.106682,101529.88
268254,8.466,-4.845,0.961,0.036198,0.023480,-0.108279,101529.15
268264,8.472,-4.833,0.965,0.027684,0.025077,-0.108811,101529.15
268274,8.468,-4.815,0.999,0.019171,0.027737,-0.109343,101531.30
268283,8.459,-4.816,0.957,0.010125,0.030930,-0.109343,101530.99
268294,8.453,-4.769,0.970,0.003207,0.033058,-0.109875,101528.82
268304,8.486,-4.718,0.994,-0.001050,0.034122,-0.108811,101530.21
268314,8.467,-4.712,1.004,-0.000517,0.033590,-0.107746,101530.99
268323,8.465,-4.737,1.031,-0.000517,0.031462,-0.106682,101529.13
268334,8.446,-4.736,0.998,0.000015,0.030930,-0.107214,101530.59
268344,8.470,-4.735,0.999,-0.001582,0.030930,-0.109343,101530.59
268354,8.467,-4.721,0.986,-0.003178,0.030930,-0.110939,101529.76
268363,8.476,-4.719,1.008,-0.002646,0.030930,-0.112535,101529.76
268374,8.492,-4.686,0.981,-0.002646,0.030930,-0.114132,101533.10
268384,8.497,-4.708,0.995,-0.001582,0.029333,-0.115728,101531.18
268394,8.513,-4.699,1.004,-0.001050,0.028801,-0.115728,101530.98
268404,8.519,-4.659,1.004,0.002143,0.027205,-0.116792,101526.02
268413,8.531,-4.650,1.058,0.005868,0.024544,-0.117324,101526.02
268424,8.540,-4.651,1.048,0.005868,0.022948,-0.116792,101529.55
268434,8.546,-4.647,1.034,0.003739,0.021884,-0.115196,101531.21
268444,8.553,-4.642,1.046,0.000547,0.022416,-0.115196,101528.68
268453,8.558,-4.624,1.099,-0.002646,0.020820,-0.112535,101528.68
268464,8.546,-4.599,1.060,-0.003710,0.017627,-0.111471,101528.68
268474,8.535,-4.592,1.081,-0.005306,0.018159,-0.108811,101532.34
268484,8.569,-4.589,1.071,-0.008499,0.018691,-0.106682,101531.62
268493,8.584,-4.543,1.078,-0.011160,0.016031,-0.104022,101531.55
268499,8.589,-4.529,1.066,-0.011160,0.014966,-0.101893,101531.71
268509,8.589,-4.524,1.085,-0.011160,0.012838,-0.097104,101531.71
268519,8.583,-4.504,1.114,-0.010095,0.007517,-0.092315,101530.91
268529,8.611,-4.504,1.096,-0.011692,0.001132,-0.086462,101530.13
268538,8.604,-4.504,1.065,-0.013288,-0.003125,-0.079013,101528.43
268549,8.590,-4.523,1.020,-0.015417,-0.005254,-0.071563,101529.62
268559,8.602,-4.537,1.025,-0.019673,-0.009511,-0.067306,101529.62
268569,8.593,-4.529,1.046,-0.023930,-0.011107,-0.063581,101530.99
268578,8.611,-4.517,1.096,-0.025527,-0.014300,-0.059324,101529.04
268589,8.607,-4.512,1.089,-0.027123,-0.015896,-0.057728,101530.48
268599,8.620,-4.537,1.062,-0.028187,-0.018556,-0.054535,101530.16
268609,8.623,-4.547,1.030,-0.031380,-0.019089,-0.053471,101530.16
268619,8.612,-4.520,1.035,-0.035105,-0.021749,-0.052407,101530.00
268628,8.601,-4.508,1.024,-0.037765,-0.022813,-0.050279,101530.83
268639,8.583,-4.492,1.041,-0.040426,-0.023345,-0.049747,101528.66
268649,8.588,-4.453,1.054,-0.039894,-0.025474,-0.047618,101528.03
268659,8.595,-4.469,1.055,-0.037233,-0.027070,-0.044425,101528.03
268668,8.555,-4.499,0.991,-0.036169,-0.026006,-0.044425,101531.87
268679,8.581,-4.538,0.975,-0.035637,-0.024942,-0.046022,101531.04
268689,8.590,-4.531,0.979,-0.034040,-0.024410,-0.048150,101531.09
268699,8.592,-4.489,0.967,-0.032444,-0.025474,-0.048150,101528.98
