150010,9.499,-1.070,2.659,0.013178,0.000043,-0.014273,99943.94,+104,+140,+181
150020,9.504,-1.107,2.631,0.015307,0.000043,-0.012144,99940.53,+104,+138,+182
150030,9.502,-1.113,2.674,0.014242,0.000576,-0.012676,99940.53,+104,+138,+182
150040,9.490,-1.127,2.674,0.012646,0.000043,-0.013208,99940.53,+101,+136,+174
150049,9.489,-1.084,2.714,0.012646,-0.001021,-0.014273,99945.47,+104,+141,+182
150060,9.492,-1.087,2.676,0.010518,-0.002085,-0.014805,99947.09,+104,+139,+181
150070,9.499,-1.064,2.680,0.009985,-0.002617,-0.015869,99944.11,+104,+139,+181
150080,9.495,-1.064,2.689,0.008389,-0.002617,-0.016401,99944.69,+102,+136,+173
150089,9.517,-1.081,2.685,0.006793,-0.004213,-0.015337,99944.69,+104,+141,+182
150100,9.509,-1.060,2.665,0.006793,-0.004213,-0.013740,99943.55,+104,+138,+180
150110,9.495,-1.080,2.630,0.006261,-0.005810,-0.014273,99946.07,+104,+138,+180
150120,9.499,-1.090,2.641,0.004664,-0.005810,-0.014805,99942.40,+102,+136,+174
150130,9.466,-1.061,2.673,0.002004,-0.006342,-0.015337,99942.40,+104,+141,+182
150140,9.482,-1.086,2.666,0.003068,-0.006342,-0.014273,99945.20,+104,+138,+180
150150,9.513,-1.072,2.661,0.001472,-0.007938,-0.014805,99945.20,+104,+138,+180
150160,9.514,-1.046,2.655,0.003068,-0.006874,-0.015869,99944.22,+102,+137,+172
150170,9.515,-1.070,2.673,0.002536,-0.006342,-0.015869,99946.67,+104,+140,+182
150180,9.526,-1.077,2.649,0.000940,-0.007406,-0.015337,99943.16,+103,+138,+180
150190,9.481,-1.064,2.662,0.002004,-0.006342,-0.017465,99943.16,+103,+138,+180
150200,9.487,-1.059,2.674,0.000940,-0.007938,-0.016401,99942.88,+102,+136,+174
150210,9.500,-1.037,2.622,-0.002785,-0.008470,-0.016401,99942.67,+105,+140,+183
150220,9.489,-1.068,2.648,-0.003317,-0.009002,-0.015869,99944.50,+104,+138,+179
150231,9.498,-1.074,2.657,-0.003317,-0.009002,-0.015869,99943.23,+101,+136,+174
150240,9.508,-1.028,2.643,-0.003317,-0.009002,-0.013208,99946.22,+101,+136,+174
150250,9.495,-1.016,2.648,-0.003849,-0.008470,-0.012144,99944.95,+104,+141,+183
150260,9.504,-1.030,2.652,-0.002253,-0.008470,-0.010548,99944.13,+103,+138,+179
150269,9.450,-1.040,2.633,-0.002785,-0.009002,-0.008419,99944.13,+102,+137,+174
150280,9.474,-1.031,2.639,-0.001721,-0.007938,-0.005227,99943.55,+102,+137,+174
150290,9.486,-1.054,2.657,0.000408,-0.007406,-0.003630,99943.55,+105,+140,+183
150300,9.474,-1.081,2.636,0.002004,-0.006342,-0.003098,99946.24,+102,+138,+177
150305,9.462,-1.080,2.658,0.004132,-0.006874,-0.004162,99942.95,+102,+138,+177
