243027,8.352,-4.868,1.919,-0.000744,-0.020828,0.030654,101336.55
243038,8.364,-4.889,1.919,-0.000212,-0.022956,0.033314,101335.46
243048,8.364,-4.910,1.965,0.000321,-0.027213,0.034910,101335.46
243057,8.343,-4.927,1.922,-0.000744,-0.029874,0.036507,101338.17
243067,8.322,-4.957,1.898,-0.003404,-0.027213,0.034910,101336.67
243078,8.276,-4.965,1.867,-0.006065,-0.024020,0.030654,101336.52
243088,8.265,-5.001,1.870,-0.007661,-0.020828,0.026397,101337.50
243097,8.247,-4.987,1.898,-0.009257,-0.016571,0.022140,101337.50
243103,8.271,-5.003,1.945,-0.008193,-0.012314,0.017351,101335.15
243112,8.285,-5.011,1.887,-0.007661,-0.008589,0.012030,101335.15
243123,8.304,-4.995,1.898,-0.008193,-0.004332,0.008305,101336.87
243133,8.329,-4.937,1.884,-0.008193,0.001521,0.005644,101336.34
243143,8.331,-4.936,1.844,-0.009257,0.004714,0.005644,101336.45
243152,8.314,-4.914,1.788,-0.011918,0.007906,0.006176,101337.34
243163,8.279,-4.823,1.670,-0.014578,0.012163,0.006709,101340.82
243173,8.296,-4.814,1.623,-0.011918,0.016952,0.012030,101337.49
243182,8.344,-4.844,1.756,-0.000744,0.016420,0.018415,101337.49
243192,8.374,-4.819,1.892,0.014155,0.010035,0.027461,101336.87
243203,8.396,-4.773,2.007,0.027458,-0.000075,0.043424,101336.87
243213,8.372,-4.769,2.091,0.029055,-0.008057,0.060984,101338.22
243223,8.297,-4.882,2.053,0.024798,-0.011250,0.073754,101339.83
243232,8.272,-4.901,2.005,0.022669,-0.010185,0.080140,101333.95
243243,8.266,-4.923,1.846,0.026926,-0.012846,0.083332,101335.09
243253,8.281,-4.916,1.781,0.038100,-0.014974,0.084929,101335.09
243263,8.315,-4.931,1.787,0.047146,-0.016571,0.087589,101338.02
243273,8.284,-4.971,1.840,0.052999,-0.012846,0.087057,101339.02
243282,8.265,-5.064,1.762,0.048743,-0.008057,0.084397,101335.63
243293,8.220,-5.057,1.842,0.046614,-0.002736,0.078543,101335.63
243303,8.237,-5.027,1.916,0.047678,0.001521,0.074287,101335.63
243313,8.252,-5.062,1.896,0.045550,0.004714,0.070030,101336.88
243322,8.226,-5.103,1.889,0.040761,0.012163,0.066305,101340.00
243333,8.254,-5.040,1.901,0.032779,0.020145,0.063112,101338.13
243343,8.253,-4.999,1.890,0.026926,0.025998,0.065773,101337.45
243352,8.213,-5.063,1.891,0.022669,0.030255,0.066305,101337.45
243363,8.234,-5.112,1.946,0.018412,0.037704,0.062580,101339.28
243373,8.192,-5.130,1.956,0.010431,0.046750,0.055131,101337.52
243383,8.224,-5.096,1.934,0.000853,0.051539,0.049277,101336.31
243393,8.246,-5.027,1.947,-0.001808,0.048879,0.048745,101336.31
