292359,4.557,1.953,-8.573,-0.005988,0.009783,-0.010631,0.180172,-0.489475,-0.890271
292371,4.561,2.004,-8.591,-0.005988,0.008364,-0.011163,0.180758,-0.489535,-0.890018
292383,4.557,1.986,-8.577,-0.005279,0.007655,-0.010276,0.181120,-0.489630,-0.889798
292397,4.555,1.953,-8.561,-0.004570,0.008010,-0.009212,0.180841,-0.489813,-0.890013
292409,4.567,1.975,-8.561,-0.004924,0.007832,-0.009567,0.181124,-0.490057,-0.889778
292422,4.573,1.949,-8.595,-0.005634,0.008010,-0.010631,0.180864,-0.490169,-0.889767
292434,4.572,1.979,-8.565,-0.004924,0.005172,-0.012227,0.181172,-0.490424,-0.889529
292447,4.565,1.967,-8.582,-0.004570,0.006591,-0.011695,0.181153,-0.490501,-0.889518
292459,4.585,1.960,-8.558,-0.003328,0.006236,-0.012227,0.181247,-0.490876,-0.889303
292472,4.549,1.967,-8.528,-0.003505,0.004817,-0.011695,0.181359,-0.491052,-0.889305
292485,4.562,1.960,-8.569,-0.001732,0.004640,-0.013292,0.181322,-0.491124,-0.889276
292497,4.551,1.980,-8.553,-0.001377,0.003398,-0.014179,0.181692,-0.491150,-0.889029
292510,4.533,1.983,-8.570,-0.001732,0.003043,-0.013292,0.181895,-0.490940,-0.888997
292523,4.551,1.987,-8.578,-0.000667,0.003398,-0.012760,0.182113,-0.490881,-0.888949
292535,4.543,1.927,-8.600,-0.001732,0.004107,-0.012760,0.181770,-0.490605,-0.888722
292547,4.561,1.966,-8.583,-0.002086,0.004462,-0.014179,0.181882,-0.490621,-0.888508
292560,4.579,1.969,-8.564,-0.002264,0.005704,-0.014888,0.181895,-0.490913,-0.888495
292573,4.565,1.990,-8.569,-0.001377,0.004817,-0.015597,0.182155,-0.491019,-0.888450
292585,4.565,1.972,-8.594,-0.002264,0.003575,-0.013292,0.182277,-0.490975,-0.888237
292598,4.570,2.002,-8.569,-0.001377,0.001979,-0.013114,0.182625,-0.491153,-0.888221
292611,4.539,1.954,-8.556,-0.001199,0.000915,-0.014356,0.182490,-0.491096,-0.888182
292624,4.550,1.961,-8.551,-0.001732,0.000205,-0.012760,0.182444,-0.491179,-0.888156
292636,4.556,1.967,-8.562,-0.002264,-0.000149,-0.013824,0.182578,-0.491240,-0.887926
292649,4.562,1.965,-8.577,-0.002441,-0.000859,-0.015243,0.182508,-0.491304,-0.887893
292662,4.554,1.978,-8.557,-0.003860,-0.001214,-0.015952,0.182623,-0.491389,-0.887837
292675,4.562,1.955,-8.581,-0.003860,-0.002278,-0.016484,0.182430,-0.491431,-0.887779
292687,4.563,1.976,-8.581,-0.003860,-0.003697,-0.017726,0.182619,-0.491473,-0.887521
292700,4.569,1.981,-8.570,-0.003860,-0.005471,-0.018081,0.182725,-0.491670,-0.887466
292713,4.574,1.977,-8.571,-0.003860,-0.007599,-0.020564,0.182772,-0.491909,-0.887375
292725,4.551,1.987,-8.588,-0.002796,-0.009727,-0.019677,0.183068,-0.491805,-0.887111
292738,4.545,1.981,-8.553,-0.002796,-0.011146,-0.020209,0.183210,-0.491882,-0.887040
292751,4.549,1.984,-8.592,-0.002796,-0.010260,-0.019677,0.183292,-0.491772,-0.886966
292763,4.555,2.010,-8.589,-0.002796,-0.010082,-0.018081,0.183781,-0.491717,-0.886715
292776,4.541,1.972,-8.550,-0.002796,-0.010792,-0.017016,0.183767,-0.491767,-0.886682
292789,4.533,1.980,-8.585,-0.003860,-0.012211,-0.017726,0.183778,-0.491569,-0.886628
292802,4.543,1.948,-8.580,-0.002796,-0.011146,-0.017371,0.183465,-0.491498,-0.886585
292814,4.548,2.002,-8.580,-0.003860,-0.011856,-0.020209,0.183881,-0.491462,-0.886319
292828,4.532,1.961,-8.560,-0.003860,-0.012920,-0.018435,0.183605,-0.491454,-0.886454
292840,4.525,2.017,-8.588,-0.002796,-0.013452,-0.019145,0.184208,-0.491167,-0.886176
292852,4.527,1.996,-8.561,-0.002441,-0.011856,-0.016307,0.184564,-0.491056,-0.885951
292866,4.510,1.978,-8.571,-0.002264,-0.011324,-0.015420,0.184432,-0.490782,-0.886106
292878,4.511,1.985,-8.582,-0.003505,-0.010437,-0.015597,0.184633,-0.490421,-0.885863
292890,4.496,1.985,-8.611,-0.003328,-0.011324,-0.015420,0.184763,-0.489822,-0.885644
292903,4.507,2.004,-8.598,-0.002796,-0.010437,-0.013824,0.184978,-0.489473,-0.885628
292917,4.504,2.000,-8.575,-0.001732,-0.009195,-0.014356,0.185077,-0.489257,-0.885754
292929,4.508,1.996,-8.610,-0.002796,-0.009727,-0.015243,0.185297,-0.488870,-0.885480
292942,4.506,1.978,-8.580,-0.003328,-0.008663,-0.016484,0.185223,-0.488682,-0.885398
292955,4.516,2.000,-8.601,-0.002796,-0.007954,-0.014179,0.185358,-0.488491,-0.885332
292968,4.501,1.972,-8.614,-0.002796,-0.006180,-0.014533,0.185172,-0.488084,-0.885263
292980,4.482,1.980,-8.587,-0.003328,-0.003874,-0.013824,0.185293,-0.487624,-0.885025
292993,4.527,1.981,-8.590,-0.003151,-0.003342,-0.013114,0.185234,-0.487656,-0.884998
293006,4.502,1.955,-8.614,-0.003328,-0.002810,-0.014888,0.184882,-0.487308,-0.884952
293018,4.488,1.977,-8.594,-0.002796,-0.001923,-0.012760,0.184989,-0.486935,-0.884752
293031,4.490,1.994,-8.623,-0.002796,-0.000149,-0.013824,0.185092,-0.486472,-0.884724
293044,4.496,1.979,-8.598,-0.002441,0.000205,-0.013114,0.185072,-0.486232,-0.884694
